"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Andrelton Simmons","LAA","SS","1254.2","0","","","4","","1","16","","21","264","208",".788","101","","","3.0","11.8","5.0","19.7","19.5","26.2","10847"
"Francisco Lindor","CLE","SS","1386.1","0","","","0","","1","13","","14","311","252",".810","92","","","0.4","11.9","1.9","14.1","13.4","21.2","12916"
"Marcus Semien","OAK","SS","1423.2","0","","","1","","-1","9","","9","335","291",".869","133","","","0.1","8.2","0.0","8.3","6.4","15.6","12533"
"Willson Contreras","CHC","C","1109.2","-7","2","5","","","3","","","2","","","","","","","","","","","","14.5","11609"
"Jose Iglesias","DET","SS","1055.1","0","","","0","","-1","2","","1","253","207",".818","80","","","0.5","3.4","4.3","8.2","9.7","13.6","10231"
"Matt Chapman","OAK","3B","1273.2","0","","","0","","0","26","","29","327","245",".749","61","","","0.2","10.0","0.7","10.9","9.4","13.1","16505"
"DJ LeMahieu","COL","2B","1115.0","0","","","3","","0","15","","18","305","260",".853","58","","","1.7","4.5","4.8","11.0","12.5","12.9","9874"
"Paul DeJong","STL","SS","1005.1","0","","","-1","","1","14","","14","243","200",".823","56","","","-0.3","6.6","0.8","7.1","9.3","12.3","18015"
"Ian Kinsler","- - -","2B","1091.1","0","","","2","","0","8","","10","238","193",".811","57","","","2.3","4.9","2.6","9.7","9.4","11.6","6195"
"James McCann","DET","C","987.1","1","-4","3","","","-1","","","-1","","","","","","","","","","","","11.5","12859"
"Martin Maldonado","- - -","C","967.2","4","-2","3","","","-1","","","3","","","","","","","","","","","","11.3","6887"
"Dansby Swanson","ATL","SS","1165.2","0","","","-1","","1","10","","10","285","211",".740","99","","","-1.5","4.3","2.5","5.3","5.9","11.3","18314"
"Jonathan Lucroy","OAK","C","1066.1","1","-9","2","","","-5","","","-11","","","","","","","","","","","","11.1","7870"
"Nick Ahmed","ARI","SS","1239.2","0","","","2","","2","17","","21","331","258",".780","116","","","0.2","1.4","3.0","4.6","5.5","11.0","12147"
"Mike Zunino","SEA","C","921.2","4","5","3","","","-1","","","12","","","","","","","","","","","","10.9","13265"
"Lorenzo Cain","MIL","CF","1180.0","0","","","","5","2","13","","20","234","217",".927","86","","-0.6","","9.6","-0.3","8.7","11.9","10.7","9077"
"Trea Turner","WSN","SS","1401.0","0","","","-2","","1","3","","2","334","247",".740","118","","","-2.7","4.0","1.8","3.2","3.5","10.4","16252"
"Mookie Betts","BOS","RF","1001.0","0","","","","3","5","12","","20","146","140",".959","101","","5.8","","8.2","1.2","15.3","21.1","10.1","13611"
"Didi Gregorius","NYY","SS","1149.1","0","","","-2","","0","0","","-2","230","179",".778","107","","","-0.3","-0.3","4.6","3.9","5.2","9.8","6012"
"Ender Inciarte","ATL","CF","1341.0","0","","","","3","-1","15","","17","283","268",".947","112","","-1.3","","8.0","0.5","7.2","7.4","9.5","4922"
"Jackie Bradley Jr.","BOS","CF","1137.1","0","","","","2","-2","-2","","-2","233","218",".936","81","","7.6","","0.3","-0.6","7.4","8.8","9.3","12984"
"Ozzie Albies","ATL","2B","1361.2","0","","","-1","","-1","10","","8","322","249",".773","74","","","-1.3","6.7","1.3","6.7","6.6","9.0","16556"
"Yasmani Grandal","LAD","C","1037.1","10","-1","0","","","0","","","9","","","","","","","","","","","","8.9","11368"
"Kyle Seager","SEA","3B","1332.2","0","","","3","","2","-10","","-5","373","263",".705","50","","","2.2","-0.2","4.6","6.6","5.1","8.9","9785"
"Rougned Odor","TEX","2B","1084.2","0","","","1","","-1","10","","10","255","209",".820","60","","","1.4","1.9","3.6","6.9","6.1","8.8","12282"
"J.T. Realmuto","MIA","C","951.0","-2","-5","0","","","-1","","","-7","","","","","","","","","","","","8.2","11739"
"Yan Gomes","CLE","C","948.2","3","3","0","","","-1","","","4","","","","","","","","","","","","8.1","9627"
"Nolan Arenado","COL","3B","1328.1","0","","","1","","1","4","","5","324","228",".704","69","","","1.5","1.4","2.9","5.8","5.2","8.1","9777"
"Jed Lowrie","OAK","2B","1177.1","0","","","-1","","0","2","","1","281","238",".847","39","","","-0.5","1.4","5.2","6.1","5.6","8.1","4418"
"Billy Hamilton","CIN","CF","1238.1","0","","","","3","3","-2","","4","281","259",".922","88","","3.1","","2.2","0.7","5.9","6.0","8.1","10199"
"Anthony Rendon","WSN","3B","1186.0","0","","","0","","1","-10","","-6","238","171",".719","32","","","-0.1","-0.4","6.3","5.9","6.5","7.9","12861"
"Yadier Molina","STL","C","1017.2","1","-3","-1","","","3","","","-1","","","","","","","","","","","","7.7","7007"
"Tucker Barnhart","CIN","C","991.0","-9","-3","-1","","","7","","","-5","","","","","","","","","","","","7.5","10200"
