team,manager,name_full,display_position,zar
Plouffe There It Is!,Tom,Jacob deGrom,SP,10
Plouffe There It Is!,Tom,Juan Soto,OF,10
Bat Lives Matter,Christopher,Justin Verlander,SP,10
Plouffe There It Is!,Tom,Cody Bellinger,"1B,OF",9
Bat Lives Matter,Christopher,Jose Altuve,2B,7
Bat Lives Matter,Christopher,Kris Bryant,"3B,OF",6
Bat Lives Matter,Christopher,Kenley Jansen,RP,5
Plouffe There It Is!,Tom,Joey Gallo,"1B,OF",5
Bat Lives Matter,Christopher,Noah Syndergaard,SP,5
Bat Lives Matter,Christopher,Kirby Yates,RP,5
Plouffe There It Is!,Tom,Trevor Story,SS,4
Bat Lives Matter,Christopher,Will Smith,RP,4
Plouffe There It Is!,Tom,Jose Alvarado,RP,4
Plouffe There It Is!,Tom,Francisco Lindor,SS,3
Plouffe There It Is!,Tom,Craig Kimbrel,RP,3
Plouffe There It Is!,Tom,A.J. Minter,RP,3
Bat Lives Matter,Christopher,Xander Bogaerts,SS,3
Bat Lives Matter,Christopher,Madison Bumgarner,SP,2
Bat Lives Matter,Christopher,Javier Baez,"2B,3B,SS",2
Plouffe There It Is!,Tom,Josh Bell,1B,2
Plouffe There It Is!,Tom,Brandon Morrow,RP,2
Plouffe There It Is!,Tom,Yasiel Puig,OF,2
Plouffe There It Is!,Tom,Drew Steckenrider,RP,2
Bat Lives Matter,Christopher,Tony Watson,RP,1
Plouffe There It Is!,Tom,Will Harris,RP,1
Bat Lives Matter,Christopher,Whit Merrifield,"1B,2B,OF",1
Bat Lives Matter,Christopher,Archie Bradley,RP,1
Plouffe There It Is!,Tom,Kyle Schwarber,OF,1
Bat Lives Matter,Christopher,Mitch Haniger,OF,1
Bat Lives Matter,Christopher,Matt Chapman,3B,1
Plouffe There It Is!,Tom,Jose Quintana,SP,1
Bat Lives Matter,Christopher,Austin Meadows,OF,0
Bat Lives Matter,Christopher,Max Muncy,"1B,2B,3B",0
Plouffe There It Is!,Tom,Craig Stammen,RP,0
Plouffe There It Is!,Tom,Joey Lucchesi,SP,0
Plouffe There It Is!,Tom,Daniel Murphy,"1B,2B",0
Bat Lives Matter,Christopher,Zack Britton,RP,-0
Bat Lives Matter,Christopher,Kyle Hendricks,SP,-0
Plouffe There It Is!,Tom,Anthony Swarzak,RP,-0
Plouffe There It Is!,Tom,Rafael Devers,3B,-1
Bat Lives Matter,Christopher,J.T. Realmuto,"C,1B",-1
Plouffe There It Is!,Tom,Buster Posey,"C,1B",-2
Plouffe There It Is!,Tom,Mike Minor,SP,-3
Bat Lives Matter,Christopher,Matt Strahm,"SP,RP",-3
Plouffe There It Is!,Tom,Aaron Hicks,OF,-3
Bat Lives Matter,Christopher,Jake Arrieta,SP,-4
Bat Lives Matter,Christopher,Luke Weaver,"SP,RP",-4
Bat Lives Matter,Christopher,Trevor Williams,SP,-4
Plouffe There It Is!,Tom,Tommy La Stella,"2B,3B",-11
