Name,Team,POS,ADP,PA,mRBI,mR,mSB,mHR,mOBP,mSLG,PTS,aPOS,Dollars,PlayerId
"Juan Soto","WSN","OF",3.4800000190734863,665,43.1648962888713,36.8566963471286,9.54164067075204,25.2493597791977,57.3021812805358,50.3322299389022,222.447004305388,55.78477412356954,279.2317784289571,"20123"
"Mike Trout","LAA","OF",5.989999771118164,679,27.8535032555733,34.6749900138094,5.83481623884363,34.7674430477453,55.0393527057773,47.1908822311666,205.360987492915,55.78477412356954,262.1457616164849,"10155"
"Ronald Acuna Jr.","ATL","OF",1.6200000047683716,672,17.6459079000413,44.4926685137456,39.1962361260193,32.3879222306084,29.539634055815,38.3419389843815,201.604307810611,55.78477412356954,258.38908193418064,"18401"
"Cody Bellinger","LAD","OF",17.25,651,31.9365413977861,18.3121925139157,11.3950528867062,27.6288805963345,20.8831529763198,36.005245921173,146.161066292235,55.78477412356954,202.9458404158048,"15998"
"Fernando Tatis Jr.","SDP","SS",2.5,658,17.6459079000413,28.1298710138519,35.4894116941109,18.1107973277869,14.4255121014722,27.8859442915556,141.687444328819,49.579688036251966,192.2671323650709,"19709"
"Jose Ramirez","CLE","3B",10.880000114440918,665,16.6251483644881,20.4938988472348,31.7825872622025,13.3517556935131,17.1889691499221,26.5289362700462,125.971295587407,51.8913818742131,178.86267746161994,"13510"
"Bryce Harper","PHI","OF",17.829999923706055,665,22.7497055778073,22.675605180554,9.54164067075204,18.1107973277869,32.8015389781815,15.5228460432513,121.402133778333,55.78477412356954,178.18690790190274,"11579"
"Mookie Betts","LAD","OF",4.139999866485596,679,6.41755300895615,36.8566963471286,24.3689383983857,10.9722348763762,21.3176124801256,17.4049452562766,117.337980367249,55.78477412356954,174.12275449081838,"13611"
"Christian Yelich","MIL","OF",10.729999542236328,672,6.41755300895615,23.7664583472136,18.8087017505231,15.73127651065,26.343898103334,18.5119098532548,109.579797573932,55.78477412356954,166.36457169750116,"11477"
"Giancarlo Stanton","NYY","DH",111.91000366210938,560,18.6666674355945,-0.232311319297198,-8.99248148879001,25.2493597791977,1.63602649222408,25.8060681819187,62.1333290808478,102.16284818644577,165.29617726729353,"4949"
"Freddie Freeman","ATL","1B",13.140000343322754,679,23.7704651133605,24.8573115138732,-5.2856570568816,8.59271405923934,37.9623431409359,26.5539406124993,116.451117383027,41.797858296586476,159.24897567961304,"5361"
"Yordan Alvarez","HOU","DH",79.02999877929688,525,6.41755300895615,-4.59572398593552,-8.99248148879001,13.3517556935131,13.7507388039679,31.6386854332337,51.5705274649454,102.16284818644577,154.73337565139119,"19556"
"Trevor Story","COL","SS",12.039999961853027,658,1.31375533119016,17.2213393472561,31.7825872622025,13.3517556935131,0.577322974054586,21.8782966430687,86.1250572512852,49.579688036251966,136.70474528753715,"12564"
"Marcell Ozuna","ATL","OF/DH",44.27000045776367,644,31.9365413977861,5.22195451400071,-7.1390692728358,15.73127651065,9.59773338792056,18.5869228806142,73.9353594181358,55.78477412356954,130.72013354170537,"10324"
"J.T. Realmuto","PHI","C",47.709999084472656,551,-1.74852327546943,-8.95913665257385,-3.43224484092739,-10.4434524778559,-8.18495335959318,-5.66193326637143,-38.4302438727911,167.9592096447573,130.52896577196617,"11739"
"J.D. Martinez","BOS","DH",93.11000061035156,644,11.5213506867221,4.13110134734113,-10.8458937047442,8.59271405923934,4.27150680045224,9.28790146967278,26.9586806586834,102.16284818644577,130.1215288451292,"6184"
"Ozzie Albies","ATL","2B",35.189998626708984,651,-0.727763739916234,13.9487798472774,13.2484651026604,-3.30489002644516,-4.31662470938264,5.66695556930068,24.5149220434944,102.16284818644577,127.67777022994022,"16556"
"Nelson Cruz","MIN","DH",92.69000244140625,574,8.45907208006254,-5.6865771525951,-14.5527181366526,15.73127651065,5.39855988828205,15.0727678790949,24.4223810688419,102.16284818644577,127.58522925528764,"2434"
"Mike Moustakas","CIN","2B",119.86000061035156,658,21.7289460422541,-2.41401765261636,-10.8458937047442,20.4903181449238,-12.5717307700148,7.35127788571434,23.7388999455169,102.16284818644577,126.90174813196268,"4892"
"Alex Bregman","HOU","3B",47.130001068115234,658,9.47983161561574,16.1304861805965,-5.2856570568816,3.83367242496554,32.168572564719,14.3408684189138,70.6677741479289,51.8913818742131,123.55915602214202,"17678"
"Trea Turner","WSN","SS",7.440000057220459,658,-8.89384002434182,23.7664583472136,48.4632972057903,-8.06393166071896,8.03404019651022,7.85362257779044,71.1596466422438,49.579688036251966,121.73933467849577,"16252"
"Franmil Reyes","CLE","DH",158.05999755859375,658,16.6251483644881,3.04024818068154,-14.5527181366526,20.4903181449238,-10.4412401350275,2.47559917665871,17.6373555950721,102.16284818644577,120.80020378151787,"14566"
"Manny Machado","SDP","3B",21.280000686645508,672,24.7912246489137,9.58536718063903,2.12799180693522,15.73127651065,1.11103593268878,10.5426342783563,63.8895303581831,51.8913818742131,116.7809122323962,"11493"
"Corey Seager","LAD","SS",31.149999618530273,644,22.7497055778073,15.0396330139369,-8.99248148879001,6.21319324210244,9.59773338792056,19.9439309021237,64.551714635101,49.579688036251966,115.1314026713529,"13624"
"Aaron Judge","NYY","OF",53.029998779296875,581,4.37603393784976,10.6762203472986,-8.99248148879001,18.1107973277869,14.9195987758394,14.8477287970167,53.9378976970015,55.78477412356954,110.72267182057102,"15640"
"Pete Alonso","NYM","1B",54.5099983215332,651,21.7289460422541,7.40366084731987,-12.6993059206984,34.7674430477453,-2.55224400854081,18.0345695036318,66.6830695117118,41.797858296586476,109.48092780829833,"19251"
"Kyle Tucker","HOU","OF",32.18000030517578,651,13.5628697578285,10.6762203472986,26.2223506143399,3.83367242496554,-8.57760597935729,6.87393753609138,52.5914447011666,55.78477412356954,109.3762188247362,"18345"
"Gleyber Torres","NYY","SS",62.9900016784668,644,18.6666674355945,7.40366084731987,-3.43224484092739,13.3517556935131,9.59773338792056,11.0222324709927,56.6098049944134,49.579688036251966,107.18949303066536,"16997"
"Rafael Devers","BOS","3B",41.220001220703125,637,14.5836292933817,12.8579266806178,-5.2856570568816,8.59271405923934,-2.38682158382682,22.230615280426,50.5924066729564,51.8913818742131,103.48378854716952,"17350"
"Jorge Soler","KCR","DH",142.22999572753906,616,2.33451486674336,-6.77743031925468,-10.8458937047442,13.3517556935131,-3.22047550672091,3.13248560948047,-2.02504336098283,102.16284818644577,101.13780482546295,"14221"
"Salvador Perez","KCR","C",84.51000213623047,526,-3.79004234657583,-24.231080985808,-12.6993059206984,-0.925369209308263,-27.7938285782849,1.3504037662677,-68.0892232744077,167.9592096447573,100.86998637034962,"7304"
"Jose Altuve","HOU","2B",94.16000366210938,665,-7.87308048878862,13.9487798472774,7.68822845479784,-10.4434524778559,4.77213527414364,-11.9013935259769,-3.80878291640251,102.16284818644577,99.35406527004326,"5417"
"Yasmani Grandal","CHW","C",131.9199981689453,545,-15.018397237661,-17.6859619858505,-12.6993059206984,-10.4434524778559,2.86669423443173,-20.6890388727885,-73.6694622604225,167.9592096447573,95.28974738433477,"11368"
"Anthony Rendon","LAA","3B",38.709999084472656,665,12.5421102222753,8.49451401397945,-10.8458937047442,-0.925369209308263,26.0439571390741,7.05122577627674,42.3605442375531,51.8913818742131,95.25192611176622,"12861"
"Joey Gallo","TEX","OF",147.11000061035156,651,11.5213506867221,7.40366084731987,-3.43224484092739,30.0084014134714,-7.87847059600912,-0.211154680893728,37.4115428296832,55.78477412356954,94.19631695325278,"14128"
"George Springer","TOR","OF",49.5,623,2.33451486674336,17.2213393472561,-5.2856570568816,6.21319324210244,8.43105401582378,6.32384200212244,35.2382864171665,55.78477412356954,92.02306054073607,"12856"
"Francisco Lindor","NYM","SS",18.59000015258789,679,-1.74852327546943,17.2213393472561,18.8087017505231,8.59271405923934,-4.24827513972233,2.72564260119004,41.3515993430168,49.579688036251966,91.93128737926875,"12916"
"Bo Bichette","TOR","SS",24.860000610351562,644,6.41755300895615,8.49451401397945,33.6359994781567,-8.06393166071896,-7.08008175783255,2.55061220401811,35.9546652865589,49.579688036251966,86.53435332281087,"19612"
"Gary Sanchez","NYY","C",152.88999938964844,429,-12.9768781665546,-29.6853468191059,-14.5527181366526,-3.30489002644516,-17.5140271368179,-5.40285846978637,-83.4367187553626,167.9592096447573,85.52249088939472,"11442"
"Matt Olson","OAK","1B",89.47000122070312,630,18.6666674355945,1.94939501402196,-12.6993059206984,27.6288805963345,-3.38589793143489,9.86751703212171,42.0272562259394,41.797858296586476,84.82511452252592,"14344"
"Miguel Sano","MIN","1B",203.74000549316406,644,16.6251483644881,11.7670735139582,-14.5527181366526,32.3879222306084,-14.9029089144337,10.5448921213697,41.8694091793381,41.797858296586476,84.6672674759246,"12164"
"Xander Bogaerts","BOS","SS",33.95000076293945,644,5.39679347340295,8.49451401397945,3.98140402288943,-3.30489002644516,9.59773338792056,6.69890713891944,30.8644620106667,49.579688036251966,81.44415004691862,"12161"
"Eugenio Suarez","CIN","3B",65.47000122070312,658,18.6666674355945,1.94939501402196,-8.99248148879001,18.1107973277869,-0.854032277584562,-0.413447263532227,28.4668987474966,51.8913818742131,81.35828062170972,"12552"
"Michael Conforto","NYM","OF",73.83000183105469,651,7.43831254450935,8.49451401397945,-3.43224484092739,3.83367242496554,14.4916810713578,-6.29381535674006,24.5321198571447,55.78477412356954,81.31689398071421,"16376"
"Matt Chapman","OAK","3B",114.80999755859375,651,9.47983161561574,10.6762203472986,-12.6993059206984,18.1107973277869,-10.7080966143446,10.6949181760885,25.5543649317468,51.8913818742131,78.44574680595991,"16505"
"DJ LeMahieu","NYY","2B",27.639999389648438,658,-11.9561186310014,15.0396330139369,-3.43224484092739,-19.9615357464035,8.4001501306557,-13.6607288697499,-25.5708449434896,102.16284818644577,77.59200324295622,"9874"
"Luis Robert","CHW","OF",34.70000076293945,644,5.39679347340295,0.858541847362384,29.9291750462483,6.21319324210244,-19.8630255677565,-1.87273049786769,20.6619475434919,55.78477412356954,77.44672166706144,"20043"
"Rhys Hoskins","PHI","1B",162.22000122070312,609,9.47983161561574,6.31280768066029,-8.99248148879001,8.59271405923934,14.9548638605569,3.61208380211687,33.9598195293992,41.797858296586476,76.75767782598567,"16472"
"Anthony Rizzo","CHC","1B",106.25,679,7.43831254450935,8.49451401397945,-3.43224484092739,1.45415160782864,23.4150186301701,-4.76177693805863,32.6079750175015,41.797858296586476,75.40583331408797,"3473"
"Ketel Marte","ARI","2B",79.58999633789062,665,-13.9976377021078,3.04024818068154,-3.43224484092739,-17.5820149292666,2.64164463915632,-3.05470812220526,-32.3847127746692,102.16284818644577,70.77813541177662,"13613"
"Keston Hiura","MIL","2B",72.83999633789062,602,-3.79004234657583,-6.77743031925468,3.98140402288943,-0.925369209308263,-16.2041068260764,-10.8421797708915,-34.5577244492172,102.16284818644577,68.60512373722857,"20003"
"Shohei Ohtani","LAA","DH",163.5500030517578,497,-8.89384002434182,-17.6859619858505,9.54164067075204,-10.4434524778559,-4.75980661228734,-2.41605250279634,-34.6574729323798,102.16284818644577,68.50537525406597,"19755"
"Will Smith","LAD","C",103.30000305175781,372,-26.2467521287462,-36.2304658190634,-12.6993059206984,-19.9615357464035,-5.86685881382268,-0.372638019985075,-101.377556448719,167.9592096447573,67.58165319603812,"19197"
"Teoscar Hernandez","TOR","OF",85.2300033569336,637,9.47983161561574,0.858541847362384,3.98140402288943,18.1107973277869,-22.9925925503519,0.13890611345014,9.57688837675276,55.78477412356954,66.3616625003223,"13066"
"Jose Abreu","CHW","1B",41.45000076293945,665,26.8327437200201,0.858541847362384,-12.6993059206984,10.9722348763762,-13.0040096740459,8.02865297496238,20.9888578239768,41.797858296586476,63.78671612056324,"15676"
"Byron Buxton","MIN","OF",109.30000305175781,588,-0.727763739916234,-1.32316448595678,22.5155261824315,3.83367242496554,-23.495401623818,5.89651033740574,6.69937909511174,55.78477412356954,63.484153218681286,"14161"
"Carlos Correa","HOU","SS",121.5199966430664,651,15.6043888289349,0.858541847362384,-12.6993059206984,3.83367242496554,3.83922789642116,-2.09776957994589,9.33875549703971,49.579688036251966,59.91844353329167,"14162"
"Willson Contreras","CHC","C",122.12000274658203,450,-28.2882711998526,-29.6853468191059,-10.8458937047442,-27.1000981978142,0.36355186597475,-14.0495091339329,-109.605567189475,167.9592096447573,59.353642455282284,"11609"
"Vladimir Guerrero Jr.","TOR","1B/DH",47.779998779296875,623,9.47983161561574,-0.232311319297198,-10.8458937047442,-3.30489002644516,6.99969876418463,9.61521576457694,11.7116510938907,41.797858296586476,54.50950939047722,"19611"
"Michael Brantley","HOU","DH",151.13999938964844,602,-9.91459955989501,-6.77743031925468,-5.2856570568816,-24.7205773806773,6.86518022463872,-12.1241747650416,-51.9572588571115,102.16284818644577,51.20558932933431,"4106"
"Brandon Lowe","TBR","2B",70.79000091552734,567,-7.87308048878862,-11.140842985893,-5.2856570568816,-5.68441084358206,-12.2783316050791,-11.3172622775011,-53.5795852577255,102.16284818644577,49.58326292872031,"18882"
"Max Muncy","LAD","1B",99.98999786376953,581,4.37603393784976,0.858541847362384,-8.99248148879001,3.83367242496554,12.4229982067066,-5.88697234844963,6.61179257964464,41.797858296586476,49.409650876231126,"13301"
"Travis d'Arnaud","ATL","C",138.25999450683594,442,-18.0806758443206,-36.2304658190634,-12.6993059206984,-27.1000981978142,-9.12440253663982,-17.4431581092134,-120.67810642775,167.9592096447573,48.28110321700756,"7739"
"Max Kepler","MIN","OF",192.83999633789062,630,-7.87308048878862,7.40366084731987,-5.2856570568816,3.83367242496554,-4.08503331478307,-3.70482102598673,-9.7112586141546,55.78477412356954,47.073515509414946,"12144"
"Kyle Schwarber","WSN","OF",203.11000061035156,525,-5.83156141768222,-10.0499898192334,-10.8458937047442,8.59271405923934,0.96779499404398,7.33530491531493,-9.83163097306161,55.78477412356954,46.95314315050794,"16478"
"Randy Arozarena","TBR","OF/DH",58.959999084472656,623,-10.9353590954482,-1.32316448595678,22.5155261824315,-5.68441084358206,-5.41713511159382,-10.6921537161727,-11.5366970703221,55.78477412356954,45.248077053247414,"19290"
"Javier Baez","CHC","SS",71.55999755859375,665,11.5213506867221,4.13110134734113,7.68822845479784,6.21319324210244,-30.0479347539445,-5.84599503559709,-6.34005605857806,49.579688036251966,44.2396319776739,"12979"
"Nolan Arenado","STL","3B",42.33000183105469,658,4.37603393784976,0.858541847362384,-12.6993059206984,3.83367242496554,-4.04976823006555,-6.34608188465976,-14.026907825246,51.8913818742131,38.864474048967054,"9777"
"Jesse Winker","CIN","DH",209.16000366210938,504,-26.2467521287462,-19.8676683191697,-10.8458937047442,-19.9615357464035,16.811956216903,-6.08474924506127,-66.1946429272218,102.16284818644577,36.96820525922399,"13590"
"Cavan Biggio","TOR","2B",68.44999694824219,602,-21.1429544509802,-2.41401765261636,7.68822845479784,-19.9615357464035,2.27117350546139,-34.1636174040978,-67.7227232938386,102.16284818644577,35.440124892607194,"19252"
"Josh Donaldson","MIN","3B",190.3800048828125,588,-7.87308048878862,-4.59572398593552,-10.8458937047442,1.45415160782864,11.9907193026755,-8.40095365184356,-18.2707809208078,51.8913818742131,34.620600953405344,"5038"
"Adalberto Mondesi","KCR","SS",23.959999084472656,637,-12.9768781665546,-2.41401765261636,85.5315415248744,-22.3410565635404,-35.0102320070421,-29.5447556486138,-16.7553985134928,49.579688036251966,33.8242895227592,"13769"
"Ian Happ","CHC","OF",160.60000610351562,616,-8.89384002434182,-1.32316448595678,0.274579590981015,-0.925369209308263,0.341370379905564,-12.7515411693834,-23.2779649181037,55.78477412356954,33.50680920546587,"17919"
"Wil Myers","SDP","OF",133.8699951171875,609,2.33451486674336,-7.86828348591426,9.54164067075204,-0.925369209308263,-14.5058950951201,-12.1491791074948,-23.572571360342,55.78477412356954,33.212202763227545,"10047"
"Charlie Blackmon","COL","OF",88.51000213623047,588,-13.9976377021078,1.94939501402196,-7.1390692728358,-12.8229732949928,3.83486669687172,3.53481293174404,-24.6406056272986,55.78477412356954,32.14416849627089,"7859"
"C.J. Cron","COL","1B",188.47000122070312,532,0.292995795636965,-15.5042556525313,-14.5527181366526,6.21319324210244,-3.02632979661357,15.6273790990907,-10.9497354489674,41.797858296586476,31.84812284761909,"12546"
"Ryan McMahon","COL","2B",236.61000061035156,588,-9.91459955989501,-15.5042556525313,-7.1390692728358,-10.4434524778559,-11.444677682185,-17.1998882137223,-71.6459428590254,102.16284818644577,31.516905327420407,"15112"
"Alejandro Kirk","TOR","C/DH",304.32000732421875,410,-37.4751070198314,-35.1396126524038,-12.6993059206984,-38.9977022834987,-0.97073053061073,-12.5652215571443,-137.847679964187,167.9592096447573,31.111529680570026,"22581"
"Eddie Rosario","CLE","OF",107.51000213623047,560,1.31375533119016,-8.95913665257385,-5.2856570568816,-0.925369209308263,-15.7409240368772,3.4347955619315,-26.1625360625192,55.78477412356954,30.62223806105031,"12155"
"Josh Bell","WSN","1B/DH",142.57000732421875,588,7.43831254450935,-6.77743031925468,-14.5527181366526,-0.925369209308263,3.10264682858075,-2.87290419599303,-14.5874624881185,41.797858296586476,28.210395808467972,"13145"
"Nicholas Castellanos","CIN","OF",80.69000244140625,630,-2.76928281102263,1.94939501402196,-10.8458937047442,-3.30489002644516,-14.7374864897197,-0.338434236172826,-30.0465922540826,55.78477412356954,26.738181869486993,"11737"
"Anthony Santander","BAL","OF",167.85000610351562,637,6.41755300895615,-4.59572398593552,-8.99248148879001,1.45415160782864,-22.9925925503519,-1.84772615541456,-30.5568195637072,55.78477412356954,26.22795455986237,"14551"
"Trent Grisham","SDP","OF",73.68000030517578,616,-16.0391567732142,1.94939501402196,13.2484651026604,-12.8229732949928,2.83797094903837,-19.8388912293819,-30.6651902318681,55.78477412356954,26.119583891701435,"18564"
"Joc Pederson","CHC","OF",244.8000030517578,567,-11.9561186310014,-3.50487081927594,-10.8458937047442,1.45415160782864,-6.21988514931984,-1.31360359184503,-32.3862202883578,55.78477412356954,24.39855383521176,"11899"
"Ramon Laureano","OAK","OF",146.02999877929688,644,-4.81080188212902,-0.232311319297198,7.68822845479784,-3.30489002644516,-13.4715536627945,-18.4091280235265,-32.5404564593945,55.78477412356954,24.244317664175014,"17128"
"Paul Goldschmidt","STL","1B",92.38999938964844,651,-7.87308048878862,3.04024818068154,-7.1390692728358,-5.68441084358206,11.995080502225,-14.1358113763595,-19.7970432986594,41.797858296586476,23.000814997927044,"9218"
"Jonathan Schoop","DET","2B",385.1600036621094,567,-11.9561186310014,-14.4134024858718,-12.6993059206984,-8.06393166071896,-23.6299201633639,-10.1375424961769,-80.9002213578314,102.16284818644577,22.262626828614412,"11265"
"Sean Murphy","OAK","C",181.6300048828125,410,-39.5166260909378,-36.2304658190634,-12.6993059206984,-29.4796190149511,-11.95620915475,-17.8932362733698,-147.77546227377,167.9592096447573,21.18374737098689,"19352"
"Kris Bryant","CHC","3B",123.75,630,-15.018397237661,7.40366084731987,-10.8458937047442,-8.06393166071896,6.56741986015355,-12.6265194571177,-32.5836613527685,51.8913818742131,20.307720521444608,"15429"
"Marcus Semien","TOR","SS",124.38999938964844,644,-7.87308048878862,7.40366084731987,3.98140402288943,-10.4434524778559,-4.94959112284522,-20.1434590248464,-32.0245182441268,49.579688036251966,18.555169792125152,"12533"
"Lourdes Gurriel Jr.","TOR","OF",87.86000061035156,588,-0.727763739916234,-11.140842985893,-3.43224484092739,-0.925369209308263,-19.2675048387862,-2.85015769655333,-38.3438833113844,55.78477412356954,18.440890812185167,"19238"
"Tim Anderson","CHW","SS",43.88999938964844,665,-11.9561186310014,8.49451401397945,18.8087017505231,-10.4434524778559,-20.4276424115588,-16.7793300780459,-32.3033278339594,49.579688036251966,18.276360202292516,"15172"
"Jeff McNeil","NYM","OF",95.66999816894531,665,-11.9561186310014,1.94939501402196,-3.43224484092739,-22.3410565635404,10.0983618616119,-13.2333972050332,-38.9150603648685,55.78477412356954,17.869713758701057,"15362"
"Mitch Garver","MIN","C",204.0800018310547,336,-43.5996642331505,-42.7755848190209,-14.5527181366526,-31.859139832088,-7.60033562949644,-10.8263748697975,-151.213817520206,167.9592096447573,17.74539212455136,"15161"
"A.J. Pollock","LAD","OF",199.35000610351562,567,-2.76928281102263,-10.0499898192334,0.274579590981015,-0.925369209308263,-21.4994295283766,-4.9845581771234,-39.9540499540833,55.78477412356954,16.830724169486267,"9256"
"Christian Vazquez","BOS","C",151.72000122070312,437,-39.5166260909378,-37.321318985723,-5.2856570568816,-34.2386606492249,-14.3844601542225,-21.8164921261929,-152.563215063183,167.9592096447573,16.39599458157469,"9774"
"Gavin Lux","LAD","2B/DH",218.58999633789062,497,-17.0599163087674,-22.0493746524888,-1.57883262497319,-22.3410565635404,-12.216523834743,-15.5110502112818,-90.7567541957946,102.16284818644577,12.406093990651238,"19955"
"Aaron Hicks","NYY","OF",241.32000732421875,581,-13.9976377021078,-2.41401765261636,-1.57883262497319,-15.2024941121297,9.22726225422562,-21.2436500927843,-45.2093699303857,55.78477412356954,11.57540419318388,"5297"
