name,pos_primary,adp_round,rank,dollars
Juan Soto,OF,1,1,279
Mike Trout,OF,1,2,262
Ronald Acuna Jr.,OF,1,3,258
Jacob deGrom,SP,1,4,229
Cody Bellinger,OF,2,5,203
Fernando Tatis Jr.,SS,1,6,192
Jose Ramirez,3B,1,7,179
Bryce Harper,OF,2,8,178
Mookie Betts,OF,1,9,174
Christian Yelich,OF,1,10,166
Giancarlo Stanton,DH,10,11,165
Freddie Freeman,1B,2,12,159
Gerrit Cole,SP,1,13,156
Yordan Alvarez,DH,7,14,155
Shane Bieber,SP,1,15,141
Trevor Story,SS,2,16,137
Max Scherzer,SP,3,17,135
Marcell Ozuna,OF,4,18,131
J.T. Realmuto,C,4,19,131
J.D. Martinez,DH,8,20,130
Ozzie Albies,2B,3,21,128
Nelson Cruz,DH,8,22,128
Mike Moustakas,2B,10,23,127
Alex Bregman,3B,4,24,124
Trea Turner,SS,1,25,122
Yu Darvish,SP,2,26,121
Franmil Reyes,DH,14,27,121
Walker Buehler,SP,2,28,120
Manny Machado,3B,2,29,117
Clayton Kershaw,SP,3,30,116
Corey Seager,SS,3,31,115
Aaron Judge,OF,5,32,111
Pete Alonso,1B,5,33,109
Kyle Tucker,OF,3,34,109
Gleyber Torres,SS,6,35,107
Lucas Giolito,SP,2,36,107
Jack Flaherty,SP,3,37,106
Rafael Devers,3B,4,38,103
Jorge Soler,DH,12,39,101
Salvador Perez,C,8,40,101
Jose Altuve,2B,8,41,99
Trevor Bauer,SP,2,42,98
Edwin Diaz,RP,7,43,96
Yasmani Grandal,C,11,44,95
Anthony Rendon,3B,4,45,95
Joey Gallo,OF,13,46,94
George Springer,OF,5,47,92
Francisco Lindor,SS,2,48,92
Josh Hader,RP,5,49,87
Bo Bichette,SS,3,50,87
Gary Sanchez,C,13,51,86
Matt Olson,1B,8,52,85
Miguel Sano,1B,17,53,85
Liam Hendriks,RP,5,54,84
Blake Snell,SP,4,55,82
Xander Bogaerts,SS,3,56,81
Eugenio Suarez,3B,6,57,81
Michael Conforto,OF,7,58,81
Aroldis Chapman,RP,6,59,79
Tyler Glasnow,SP,4,60,79
Aaron Nola,SP,2,61,79
Matt Chapman,3B,10,62,78
DJ LeMahieu,2B,3,63,78
Luis Castillo,SP,3,64,78
Luis Robert,OF,3,65,77
Rhys Hoskins,1B,14,66,77
Anthony Rizzo,1B,9,67,75
Ketel Marte,2B,7,68,71
Brandon Woodruff,SP,3,69,70
